FID,OBJECTID,YEAR,MONTH,PIXELS,NDVI,ETRF,ETR_MM,ET_MM,PPT_MM
0,1,2018,1,278,0.695687,0.375241,43.560763,16.345773,78.589243
0,1,2018,2,278,0.695687,0.375241,39.095780,14.670329,115.075653
0,1,2018,3,278,0.695687,0.375241,80.498269,30.206230,62.289143
0,1,2018,4,278,0.695687,0.375241,104.202237,39.100925,95.630751
0,1,2018,5,278,0.771936,0.386897,162.889745,63.021526,81.198669
0,1,2018,6,278,0.817388,0.864980,164.147060,141.983981,93.807042
0,1,2018,7,278,0.677103,0.887840,234.602091,208.289027,2.855025
0,1,2018,8,278,0.609487,0.917344,214.891859,197.129754,23.262003
0,1,2018,9,278,0.614990,0.961620,138.894280,133.563538,7.073653
0,1,2018,10,278,0.522358,0.962003,66.478130,63.952188,83.500180
0,1,2018,11,278,0.292785,0.962003,36.521930,35.134221,106.901108
0,1,2018,12,278,0.239996,0.962003,27.348694,26.309537,59.455674
1,2,2018,1,189,0.662196,0.359021,44.642206,16.027474,63.107113
1,2,2018,2,189,0.662196,0.359021,39.841424,14.303894,95.509751
1,2,2018,3,189,0.662196,0.359021,85.248486,30.605967,50.391671
1,2,2018,4,189,0.662196,0.359021,108.392438,38.915123,81.798896
1,2,2018,5,189,0.763084,0.368097,167.719922,61.737258,71.248209
1,2,2018,6,189,0.783558,0.736364,169.290741,124.659562,85.898198
1,2,2018,7,189,0.804317,0.848354,240.138712,203.722705,2.426401
1,2,2018,8,189,0.623466,0.840255,219.977238,184.836904,22.175601
1,2,2018,9,189,0.563026,0.820451,142.388349,116.822670,5.761076
1,2,2018,10,189,0.445874,0.823318,69.636401,57.332907,70.344504
1,2,2018,11,189,0.215023,0.823318,38.015020,31.298453,86.741986
1,2,2018,12,189,0.163045,0.823318,27.053088,22.273296,50.210110
2,3,2018,1,71,0.444249,0.394623,44.630225,17.612131,64.239708
2,3,2018,2,71,0.444249,0.394623,39.536261,15.601934,97.532942
2,3,2018,3,71,0.444249,0.394623,85.043369,33.560103,51.096944
2,3,2018,4,71,0.444249,0.394623,107.998319,42.618664,83.474797
2,3,2018,5,71,0.610254,0.405517,167.266616,67.829464,71.827604
2,3,2018,6,71,0.782723,0.801981,168.725673,135.314780,86.497527
2,3,2018,7,71,0.696720,0.738220,239.777304,177.008450,2.469246
2,3,2018,8,71,0.438957,0.650319,219.662622,142.850777,22.188001
2,3,2018,9,71,0.433363,0.649891,142.001629,92.285610,5.777424
2,3,2018,10,71,0.405971,0.652214,69.204543,45.136192,71.636569
2,3,2018,11,71,0.313189,0.652214,37.979613,24.770846,88.294602
2,3,2018,12,71,0.291544,0.652214,26.923811,17.560094,50.862757
3,4,2018,1,15,0.493959,0.424224,44.241301,18.768220,69.427938
3,4,2018,2,15,0.493959,0.424224,39.505745,16.759284,103.553888
3,4,2018,3,15,0.493959,0.424224,83.419823,35.388687,54.735432
3,4,2018,4,15,0.493959,0.424224,106.716987,45.271903,87.206562
3,4,2018,5,15,0.612323,0.433968,165.886734,71.989561,74.939443
3,4,2018,6,15,0.724130,0.792228,167.240639,132.492676,88.985430
3,4,2018,7,15,0.673260,0.784637,237.916759,186.678383,2.577487
3,4,2018,8,15,0.460108,0.750685,217.879664,163.559022,22.563775
3,4,2018,9,15,0.480875,0.755899,140.926566,106.526309,6.230901
3,4,2018,10,15,0.498100,0.756221,68.383807,51.713275,75.504182
3,4,2018,11,15,0.339108,0.756221,37.419779,28.297625,94.614289
3,4,2018,12,15,0.298854,0.756221,27.095754,20.490380,54.161766
4,5,2018,1,116,0.610331,0.335694,44.062154,14.791417,71.360340
4,5,2018,2,116,0.610331,0.335694,39.606335,13.295624,105.534425
4,5,2018,3,116,0.610331,0.335694,82.739116,27.775056,56.230112
4,5,2018,4,116,0.610331,0.335694,106.272704,35.675149,88.342847
4,5,2018,5,116,0.707049,0.345878,165.397269,57.207259,76.211862
4,5,2018,6,116,0.785125,0.729740,166.762059,121.692877,89.922042
4,5,2018,7,116,0.731513,0.749036,237.199887,177.671314,2.616049
4,5,2018,8,116,0.555660,0.805317,217.193757,174.909844,22.739971
4,5,2018,9,116,0.492951,0.689963,140.587254,96.999976,6.442878
4,5,2018,10,116,0.509045,0.686196,68.159572,46.770840,76.831100
4,5,2018,11,116,0.293277,0.686196,37.177603,25.511130,96.982363
4,5,2018,12,116,0.238723,0.686196,27.235102,18.688624,55.377097
5,6,2018,1,50,0.624451,0.364851,43.845822,15.997191,74.284892
5,6,2018,2,50,0.624451,0.364851,39.498742,14.411154,109.153590
5,6,2018,3,50,0.624451,0.364851,81.813864,29.849867,58.547467
5,6,2018,4,50,0.624451,0.364851,105.488306,38.487510,90.898930
5,6,2018,5,50,0.716785,0.375225,164.483378,61.718336,78.145569
5,6,2018,6,50,0.788369,0.753208,165.808315,124.888123,91.427305
5,6,2018,7,50,0.697956,0.746814,236.145018,176.356456,2.697960
5,6,2018,8,50,0.506182,0.837612,216.228292,181.115427,22.958669
5,6,2018,9,50,0.430129,0.749400,139.946469,104.875945,6.706864
5,6,2018,10,50,0.460623,0.747391,67.583600,50.511406,79.297042
5,6,2018,11,50,0.265236,0.747391,36.885265,27.567732,100.815892
5,6,2018,12,50,0.215076,0.747391,27.316734,20.416293,57.109187
6,7,2018,1,181,0.503859,0.348767,43.404737,15.138159,81.477839
6,7,2018,2,181,0.503859,0.348767,38.654955,13.481589,119.458012
6,7,2018,3,181,0.503859,0.348767,79.682296,27.790590,64.846516
6,7,2018,4,181,0.503859,0.348767,103.264766,36.015387,99.361424
6,7,2018,5,181,0.591319,0.357332,161.703647,57.781865,83.260095
6,7,2018,6,181,0.647132,0.686834,162.880211,111.871742,95.464587
6,7,2018,7,181,0.533215,0.632893,233.585665,147.834707,2.976393
6,7,2018,8,181,0.410232,0.566986,214.043259,121.359425,23.435080
6,7,2018,9,181,0.392256,0.608794,138.105109,84.077597,7.283689
6,7,2018,10,181,0.399365,0.612759,65.579814,40.184645,86.626259
6,7,2018,11,181,0.312456,0.612759,36.326643,22.259490,111.156109
